image_path,mask_path,true_class,predicted_class,correct,lung_attention_fraction,lung_area_fraction,lung_attention_enrichment
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/images/Lung_Opacity-3579.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/masks/Lung_Opacity-3579.png,Lung_Opacity,Lung_Opacity,True,0.0647618365323762,0.29779052734375,0.21747446807674764
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Viral Pneumonia/images/Viral Pneumonia-1098.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Viral Pneumonia/masks/Viral Pneumonia-1098.png,Viral Pneumonia,Viral Pneumonia,True,0.1206429901750792,0.22894287109375,0.5269567451422281
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-7117.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-7117.png,Normal,Normal,True,0.2723771606442804,0.28509521484375,0.9553901520008329
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/COVID/images/COVID-1554.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/COVID/masks/COVID-1554.png,COVID,COVID,True,0.2489726939737697,0.30419921875,0.8184527724852012
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/images/Lung_Opacity-5749.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/masks/Lung_Opacity-5749.png,Lung_Opacity,Lung_Opacity,True,0.03181463646988351,0.2965087890625,0.1072974483167088
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-529.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-529.png,Normal,Normal,True,0.19818438828908896,0.3297119140625,0.601083490879014
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-369.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-369.png,Normal,Viral Pneumonia,False,0.0779476736533612,0.2110595703125,0.3693159876045893
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/images/Lung_Opacity-3679.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/masks/Lung_Opacity-3679.png,Lung_Opacity,Lung_Opacity,True,0.05350614852460277,0.35455322265625,0.15091147141110203
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/COVID/images/COVID-406.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/COVID/masks/COVID-406.png,COVID,Normal,False,0.19182764644792133,0.3447265625,0.5564632010273979
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-6553.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-6553.png,Normal,Normal,True,0.28045667676958264,0.3165283203125,0.8860397593892869
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Viral Pneumonia/images/Viral Pneumonia-723.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Viral Pneumonia/masks/Viral Pneumonia-723.png,Viral Pneumonia,Viral Pneumonia,True,0.12886759420733063,0.24859619140625,0.5183812088123999
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-8721.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-8721.png,Normal,Normal,True,0.13231485089482947,0.29962158203125,0.4416065424854117
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/COVID/images/COVID-186.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/COVID/masks/COVID-186.png,COVID,Normal,False,0.2989960265708363,0.40130615234375,0.7450571710017615
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/images/Lung_Opacity-5160.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/masks/Lung_Opacity-5160.png,Lung_Opacity,Lung_Opacity,True,0.13084687325414188,0.261474609375,0.5004190409420776
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-9399.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-9399.png,Normal,Normal,True,0.2669169902673211,0.4066162109375,0.6564346995706677
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-3594.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-3594.png,Normal,COVID,False,0.3817883019071721,0.39251708984375,0.9726666985612048
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/images/Lung_Opacity-1657.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Lung_Opacity/masks/Lung_Opacity-1657.png,Lung_Opacity,Lung_Opacity,True,0.05398868401941023,0.2799072265625,0.19288063649673293
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-9268.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-9268.png,Normal,Normal,True,0.2903527714986457,0.36669921875,0.7918009001720724
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/COVID/images/COVID-3241.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/COVID/masks/COVID-3241.png,COVID,COVID,True,0.2645156344597835,0.363037109375,0.7286187214171306
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-9451.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-9451.png,Normal,Normal,True,0.3149423557162249,0.38067626953125,0.8273233214774137
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-172.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-172.png,Normal,Normal,True,0.17979919708694914,0.2825927734375,0.636248389864487
/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/images/Normal-5175.png,/Users/berfinaktas/Projects/covid_project_folders/jun26_bds_int_covid/data/raw/Normal/masks/Normal-5175.png,Normal,Normal,True,0.10797066140433828,0.34039306640625,0.31719406785882703
